scientific_name,common_name,status,count,taxon,source
Calabaria reinhardtii,African Burrowing Python,Introduced,1,Reptilia,EddMaps
Xenopus laevis,African Clawed Frog,Introduced,20,Amphibia,EddMaps
Hemitheconyx caudicinctus,African Fat-Tailed Gecko,Introduced,1,Reptilia,EddMaps
Mecistops cataphractus,African Slender-Snouted Crocodile,Introduced,1,Reptilia,EddMaps
Centrochelys sulcata,African Spurred Tortoise,Introduced,34,Reptilia,EddMaps
Geochelone sulcata,African Spurred Tortoise,Introduced,237,Reptilia,EddMaps
Aldabrachelys gigantea,Aldabra Giant Tortoise,Introduced,2,Reptilia,EddMaps
Anolis allisoni,Allison's Anole,Introduced,54,Reptilia,EddMaps
Corallus hortulanus,Amazon Tree Boa,Introduced,2,Reptilia,EddMaps
Salvator merianae,Argentine Black-And-White Tegu,Introduced,9408,Reptilia,EddMaps
Boa constrictor occidentalis,Argentine Boa,Introduced,2,Reptilia,EddMaps
Varanus panoptes,Argus Monitor,Introduced,1,Reptilia,EddMaps
Sphaerodactylus elegans,Ashy Gecko,Introduced,3,Reptilia,EddMaps
Duttaphrynus melanostictus,Asian Black-Spotted Toad,Introduced,1,Amphibia,EddMaps
Manouria emys,Asian Brown Tortoise,Introduced,3,Reptilia,EddMaps
Litoria caerulea,Australian Green Treefrog,Introduced,5,Amphibia,EddMaps
Chilabothrus strigilatus,Bahamian Boa,Introduced,2,Reptilia,EddMaps
Python regius,Ball Python,Introduced,602,Reptilia,EddMaps
Anolis distichus,Bark Anole,Introduced,52,Reptilia,EddMaps
Basiliscus spp.,Basilisk,Introduced,54,Reptilia,EddMaps
Pogona vitticeps,Bearded Dragon,Introduced,39,Reptilia,EddMaps
Chondrodactylus bibronii,Bibron's Gecko,Introduced,1,Reptilia,EddMaps
Ctenosaura similis,Black Spiny-Tailed Iguana,Introduced,2162,Reptilia,EddMaps
Varanus albigularis ionidesi,Black-Throated Monitor,Introduced,10,Reptilia,EddMaps
Varanus albigularis microstictus,Black-Throated Monitor,Introduced,7,Reptilia,EddMaps
Python curtus,Blood Python,Introduced,4,Reptilia,EddMaps
Varanus doreanus,Bluetail Monitor,Introduced,2,Reptilia,EddMaps
Python breitensteini,Borneo Python,Introduced,1,Reptilia,EddMaps
Ramphotyphlops braminus,Brahminy Blind Snake,Introduced,259,Reptilia,EddMaps
Epicrates cenchria cenchria,Brazilian Rainbow Boa,Introduced,2,Reptilia,EddMaps
Phelsuma laticauda,Broad-Tailed Day Gecko,Introduced,3,Reptilia,EddMaps
Anolis sagrei,Brown Anole,Introduced,4613,Reptilia,EddMaps
Basiliscus vittatus,Brown Basilisk,Introduced,3152,Reptilia,EddMaps
Python molurus ssp. bivittatus,Burmese Python,Introduced,11591,Reptilia,EddMaps
Leiolepis belliana belliana,Butterfly Lizard,Introduced,6,Reptilia,EddMaps
Bufo marinus,Cane Toad,Introduced,179,Amphibia,EddMaps
Rhinella marina,Cane Toad,Introduced,1674,Amphibia,EddMaps
Morelia spilota,Carpet Python,Introduced,11,Reptilia,EddMaps
Crocodylus moreletii,Central American Crocodile,Introduced,2,Reptilia,EddMaps
Testudo horsfieldii,Central Asian Tortoise,Introduced,7,Reptilia,EddMaps
Trioceros spp.,Chameleon,Introduced,7,Reptilia,EddMaps
Staurotypus salvinii,Chiapas Giant Musk Turtle,Introduced,2,Reptilia,EddMaps
Mauremys sinensis,Chinese Striped-Necked Turtle,Introduced,1,Reptilia,EddMaps
Physignathus cocincinus,Chinese Water Dragon,Introduced,5,Reptilia,EddMaps
Epicrates cenchria maurus,Colombian Rainbow Boa,Introduced,14,Reptilia,EddMaps
Trachemys callirostris,Columbian Slider,Introduced,1,Reptilia,EddMaps
Tiliqua scincoides,Common Bluetongue Lizard,Introduced,14,Reptilia,EddMaps
Boa constrictor,Common Boa,Introduced,534,Reptilia,EddMaps
Caiman crocodilus,Common Caiman,Introduced,25,Reptilia,EddMaps
Hemidactylus frenatus,Common House Gecko,Introduced,25,Reptilia,EddMaps
Varanus salvator,Common Water Monitor,Introduced,94,Reptilia,EddMaps
Eleutherodactylus coqui,Coqui,Introduced,10,Amphibia,EddMaps
Anolis cristatellus,Crested Anole,Introduced,3,Reptilia,EddMaps
Gonocephalus grandis,Crested Tree Dragon,Introduced,1,Reptilia,EddMaps
Varanus salvadorii,Crocodile Monitor,Introduced,3,Reptilia,EddMaps
Anolis porcatus,Cuban Green Anole,Introduced,17,Reptilia,EddMaps
Anolis equestris persparsus,Cuban Knight Anole,Introduced,61,Reptilia,EddMaps
Cyclura nubila nubila,Cuban Rock Iguana,Introduced,1,Reptilia,EddMaps
Osteopilus septentrionalis,Cuban Treefrog,Introduced,2948,Amphibia,EddMaps
Egernia cunninghami,Cunningham's Skink,Introduced,1,Reptilia,EddMaps
Leiocephalus spp.,Curly-Tailed Lizards,Introduced,16,Reptilia,EddMaps
Paleosuchus palpebrosus,Cuvier's Dwarf Caiman,Introduced,1,Reptilia,EddMaps
Phelsuma dubia,Dull Day Gecko,Introduced,1,Reptilia,EddMaps
Boa dumerili,Dumeril's Boa,Introduced,11,Reptilia,EddMaps
Ameiva praesignis,Dusky Giant Ameiva,Introduced,40,Reptilia,EddMaps
Trachylepis perrotetii,Fire-Side Skink,Introduced,1,Reptilia,EddMaps
Trachylepis quinquetaeniata,Five-Lined Mabuya,Introduced,9,Reptilia,EddMaps
Cosymbotus platyurus,Flat-Tailed House Gecko,Introduced,2,Reptilia,EddMaps
Afrixalus fornasini,Fornasini's Spiny Reed Frog,Introduced,1,Amphibia,EddMaps
Chlamydosaurus kingii,Frilled Lizard,Introduced,1,Reptilia,EddMaps
Phelsuma grandis,Giant Day Gecko,Introduced,42,Reptilia,EddMaps
Aspidoscelis motaguae,Giant Whiptail,Introduced,15,Reptilia,EddMaps
Tupinambis teguixin,Gold Tegu,Introduced,28,Reptilia,EddMaps
Gekko badenii,Golden Gecko,Introduced,9,Reptilia,EddMaps
Chrysopelea ornata,Golden Tree Snake,Introduced,1,Reptilia,EddMaps
Cordylus mossambicus,Gorongosa Girdled Lizard,Introduced,3,Reptilia,EddMaps
Chamaeleo gracilis,Graceful Chameleon,Introduced,1,Reptilia,EddMaps
Eunectes murinus,Green Anaconda,Introduced,10,Reptilia,EddMaps
Basiliscus plumifrons,Green Basilisk,Introduced,10,Reptilia,EddMaps
Iguana iguana,Green Iguana,Introduced,10664,Reptilia,EddMaps
Eleutherodactylus planirostris,Greenhouse Frog,Introduced,1045,Amphibia,EddMaps
Leiocephalus personatus scalaris,Haitian Curly-Tailed Lizard,Introduced,5,Reptilia,EddMaps
Testudo hermanni,Hermann's Tortoise,Introduced,2,Reptilia,EddMaps
Kinixys homeana,Home's Hingeback Tortoise,Introduced,1,Reptilia,EddMaps
Lampropeltis triangulum hondurensis,Honduran Milksnake,Introduced,1,Reptilia,EddMaps
Iguana spp.,Iguana,Introduced,37,Reptilia,EddMaps
Varanus indicus,Indian Monitor,Introduced,6,Reptilia,EddMaps
Hemidactylus garnotii,Indo-Pacific Gecko,Introduced,38,Reptilia,EddMaps
Norops garmani I,Jamaican Giant Anole,Introduced,5,Reptilia,EddMaps
Acrochordus javanicus,Javan Filesnake,Introduced,9,Reptilia,EddMaps
Anolis coelestinus,Jeremie Anole,Introduced,2,Reptilia,EddMaps
Furcifer lateralis,Jewel Chameleon,Introduced,1,Reptilia,EddMaps
Gongylophis colubrinus,Kenyan Sand Boa,Introduced,2,Reptilia,EddMaps
Anolis equestris,Knight Anole,Introduced,2152,Reptilia,EddMaps
Ptychozoon kuhli,Kuhl's Flying Gecko,Introduced,1,Reptilia,EddMaps
Anolis cybotes,Largehead Anole,Introduced,1,Reptilia,EddMaps
Hyla savignyi,Lemon-Yellow Tree Frog,Introduced,1,Amphibia,EddMaps
Eublepharis macularius,Leopard Geckos,Introduced,9,Reptilia,EddMaps
Geochelone pardalis,Leopard Tortoise,Introduced,4,Reptilia,EddMaps
Gekko vittatus,Lined Gecko,Introduced,5,Reptilia,EddMaps
Ahaetulla nasuta,Long-Nosed Whipsnake,Introduced,1,Reptilia,EddMaps
Langaha madagascariensis,Madagascar Leaf Nosed Snake,Introduced,1,Reptilia,EddMaps
Kaloula pulchra,Malaysian Painted Frog,Introduced,4,Amphibia,EddMaps
Gekko grossmanni,Marbled Gecko,Introduced,9,Reptilia,EddMaps
Hemidactylus turcicus,Mediterranean Gecko,Introduced,204,Reptilia,EddMaps
Trioceros melleri,Meller's Chameleon,Introduced,2,Reptilia,EddMaps
Rhinella horribilis,Mesoamerican Cane Toad,Introduced,1,Amphibia,EddMaps
Ctenosaura pectinata,Mexican Spiny-Tailed Iguana,Introduced,28,Reptilia,EddMaps
Tarentola mauritanica,Moorish Wall Gecko,Introduced,6,Reptilia,EddMaps
Uranoscodon superciliosus,Mophead Iguana,Introduced,1,Reptilia,EddMaps
Lepidodactylus lugubris,Mourning Gecko,Introduced,4,Reptilia,EddMaps
Crocodylus niloticus,Nile Crocodile,Introduced,3,Reptilia,EddMaps
Varanus niloticus,Nile Monitor,Introduced,2113,Reptilia,EddMaps
Python sebae,Northern African Python,Introduced,67,Reptilia,EddMaps
Dracaena guianensis,Northern Caiman Lizard,Introduced,2,Reptilia,EddMaps
Leiocephalus carinatus,Northern Curly-Tailed Lizard,Introduced,105,Reptilia,EddMaps
Leiocephalus carinatus armouri,Northern Curly-Tailed Lizard,Introduced,777,Reptilia,EddMaps
Sphaerodactylus argus argus,Ocellated Gecko,Introduced,10,Reptilia,EddMaps
Takydromus tachydromoides ocellatus,Ocellated Grass Lizard,Introduced,2,Reptilia,EddMaps
Chalcides ocellatus,Ocellated Skink,Introduced,5,Reptilia,EddMaps
Hypselotriton orientalis,Oriental Fire-Bellied Newt,Introduced,4,Amphibia,EddMaps
Bombina orientalis,Oriental Fire-Bellied Toad,Introduced,5,Amphibia,EddMaps
Calotes versicolor,Oriental Garden Lizard,Introduced,1,Reptilia,EddMaps
Varanus ornatus,Ornate Monitor,Introduced,1,Reptilia,EddMaps
Furcifer oustaleti,Oustalet’S Chameleon,Introduced,20,Reptilia,EddMaps
Dendrelaphis pictus,Painted Bronzeback,Introduced,1,Reptilia,EddMaps
Lygodactylus luteopicturatus,Painted Dwarf Gecko,Introduced,1,Reptilia,EddMaps
Rhinoclemmys pulcherrima,Painted Wood Turtle,Introduced,1,Reptilia,EddMaps
Furcifer pardalis,Panther Chameleon,Introduced,21,Reptilia,EddMaps
Epicrates crassus,Paraguayan Rainbow Boa,Introduced,3,Reptilia,EddMaps
Leiopython fredparkeri,Parker's Python,Introduced,1,Reptilia,EddMaps
Varanus jobiensis,Peach-Throated Monitor,Introduced,2,Reptilia,EddMaps
Tropidurus hispidus,Peter's Lava Lizard,Introduced,4,Reptilia,EddMaps
Agama picticauda,Peter's Rock Agama,Introduced,6824,Reptilia,EddMaps
Scincopus fasciatus,Peters' Banded Skink,Introduced,1,Reptilia,EddMaps
Chilabothrus inornatus,Puerto Rican Boa,Introduced,1,Reptilia,EddMaps
Anolis cristatellus cristatellus,Puerto Rican Crested Anole,Introduced,15,Reptilia,EddMaps
Borikenophis portoricensis,Puerto Rican Racer,Introduced,1,Reptilia,EddMaps
Python spp.,Pythons,Introduced,150,Reptilia,EddMaps
Cnemidophorus lemniscatus,Rainbow Whiptail,Introduced,44,Reptilia,EddMaps
Salvator rufescens,Red Tegu,Introduced,27,Reptilia,EddMaps
Leiolepis rubritaeniata,Red-Banded Butterfly Lizard,Introduced,14,Reptilia,EddMaps
Trachemys scripta elegans,Red-Eared Slider,Introduced,169,Reptilia,EddMaps
Chelonoidis carbonaria,Red-Footed Tortoise,Introduced,7,Reptilia,EddMaps
Geochelone carbonaria,Red-Footed Tortoise,Introduced,47,Reptilia,EddMaps
Leiocephalus schreibersii schreibersii,Red-Sided Curly-Tailed Lizard,Introduced,4,Reptilia,EddMaps
Boa constrictor constrictor,Red-Tailed Boa Constrictor,Introduced,1,Reptilia,EddMaps
Python reticulatus,Reticulated Python,Introduced,16,Reptilia,EddMaps
Cyclura cornuta,Rhinoceros Iguana,Introduced,11,Reptilia,EddMaps
Typhlonectes natans,Rio Cauca Caecilian,Introduced,61,Reptilia,EddMaps
Varanus rudicollis,Rough Neck Monitor,Introduced,2,Reptilia,EddMaps
Laudakia stellio,Roughtail Rock Agama,Introduced,4,Reptilia,EddMaps
Eryx colubrinus,Sand Boa,Introduced,1,Reptilia,EddMaps
Varanus exanthematicus,Savannah Monitor,Introduced,120,Reptilia,EddMaps
Paleosuchus trigonatus,Schneider's Smooth-Fronted Caiman,Introduced,1,Reptilia,EddMaps
Chamaeleo senegalensis,Senegal Chameleon,Introduced,1,Reptilia,EddMaps
Pelusios sinuatus,Serrated Hinged Terrapin,Introduced,1,Reptilia,EddMaps
Lampropeltis triangulum sinaloae,Sinaloan Milksnake,Introduced,1,Reptilia,EddMaps
Ptychozoon lionotum,Smooth-Backed Gliding Gecko,Introduced,1,Reptilia,EddMaps
Ameiva ameiva,South American Ground Lizard,Introduced,520,Reptilia,EddMaps
Uromastyx dispar maliensis,Southern Saharan Spiny-Tailed Lizard,Introduced,1,Reptilia,EddMaps
Varanus albigularis albigularis,Southern White-Throated Monitor,Introduced,2,Reptilia,EddMaps
Rhinoclemmys punctularia,Spot-Legged Turtle,Introduced,1,Reptilia,EddMaps
Antaresia maculosa,Spotted Python,Introduced,4,Reptilia,EddMaps
Pachytriton labiatus,Spottless Stout Newt,Introduced,1,Amphibia,EddMaps
Phelsuma standingi,Standing's Day Gecko,Introduced,3,Reptilia,EddMaps
Python brongersmai,Sumatran Blood Python,Introduced,1,Reptilia,EddMaps
Orthriophis taeniurus,Taiwan Beauty Snake,Introduced,1,Reptilia,EddMaps
Erpeton tentaculatum,Tentacle Snake,Introduced,1,Reptilia,EddMaps
Spilotes pullatus,Tiger Rat Snake,Introduced,2,Reptilia,EddMaps
Gekko gecko,Tokay Gekko,Introduced,440,Reptilia,EddMaps
Anolis trinitatis,Trinidad Anole,Introduced,4,Reptilia,EddMaps
Hemidactylus mabouia,Tropical House Gecko,Introduced,2050,Reptilia,EddMaps
Chondrodactylus turneri,Turner's Thick-Toed Gecko,Introduced,1,Reptilia,EddMaps
Lygodactylus williamsi,Turquoise Dwarf Gecko,Introduced,1,Reptilia,EddMaps
Platemys platycephala,Twisted-Neck Turtle,Introduced,1,Reptilia,EddMaps
Chamaeleo calyptratus,Veiled Chameleon,Introduced,324,Reptilia,EddMaps
Pelusios castaneus,West African Mud Turtle,Introduced,3,Reptilia,EddMaps
Gongylophis muelleri,West African Sand Boa,Introduced,1,Reptilia,EddMaps
Zonosaurus laticaudatus,Western Girdled Lizard,Introduced,1,Reptilia,EddMaps
Tarentola annularis,White-Spotted Wall Gecko,Introduced,7,Reptilia,EddMaps
Varanus albigularis,White-Throated Monitor,Introduced,10,Reptilia,EddMaps
Eunectes notaeus,Yellow Anaconda,Introduced,6,Reptilia,EddMaps
Chelonoidis denticulata,Yellow-Footed Tortoise,Introduced,1,Reptilia,EddMaps
Gonatodes albogularis,Yellow-Headed Gecko,Introduced,1,Reptilia,EddMaps
Trachemys venusta,Yucatan Slider,Introduced,1,Reptilia,EddMaps